Location name,Region,Page,Pleiades ID (pleiades.stoa.org/ ),y/lat,x/lng,Number of buildings,Decription,Date - text,Date - precise,Date - post quem,Date - ante quem,Ceased to exist,Cited,Other literature in text,Notes,Coded by,Notes 2
Naples,Italy with Sardinia and Corsica,135,433014,40.839995,14.25287,1,"under Constantine a basilica, its total plan unknown",-,,,,,"Testini et al. 1989, 19, 95",,pleiades: Parthenope/Neapolis (modern Naples/Napoli),Milan,
Naples,Italy with Sardinia and Corsica,135,433014,40.839995,14.25287,1,"S. Gennaro, a basilica with two side aisles",-,,,,,"Testini 1980, 269",,pleiades: Parthenope/Neapolis (modern Naples/Napoli),Milan,
"Nola (Cimitile, ca. ten miles north of Pompeii)",Italy with Sardinia and Corsica,135,432981,40.925875,14.528564,1,a north-facing apsidal hall for martyr-cult without side aisles,390s,,390,399,,"(Lehmann 1994, 284f.; Brandenburg 2005-6, 246);  (Paulinus of Nola, Poema 20; Lehmann 2004, 35, Abb. 24ff., and passim; Christie 2006,86, fig. 15) ",,pleiades: Nola/Nuvlana,Milan,
Capua,Italy with Sardinia and Corsica,133,432754,41.086242,14.250357,1,a church built by Constantine,perharps in 313,313,,,,"the Liber pontificalis, in Testini et al. 1989, 19ff., 92; Korol 1994, 121, 127; Lehmann 2004,46",,,Milan,
Rome,Italy with Sardinia and Corsica,135,423025,41.891775,12.486137,1,a basilica across the Tiber and a cemetery on the Via Appia,in A.D. 269-274,,269,274,,"Duchense 1955-57, 63; Luciani 2000, 136",,,Jana,
Rome,Italy with Sardinia and Corsica,136,423025,41.891775,12.486137,1,"bishop Felix ""built a basilica on the Via Aurelia",268-73,,268,273,,"Duchense 1955-57, 158",,,Jana,
Rome,Italy with Sardinia and Corsica,136,423025,41.891775,12.486137,1,?a house-church next to S. Crisogono in Trastevere,built presumably around 310,,305,314,,"Pietri 1978, 12ff.; Krautheimer 1983, 17f., 128 n.10; Mathiae 1962, 66, and White 1990, 132ff., fig. 26 plan",,,Jana,
Rome,Italy with Sardinia and Corsica,136,423025,41.891775,12.486137,1,"SS. Quattro Coronati, a basilica of uncertain dimensions","very probably of the 4th century, by pope Melchias 311-314",,311,314,,"(Krautheimer et al. 1937-77, 3.28f., 32f.); (Tesei 1986, 446)",,,Jana,
Rome,Italy with Sardinia and Corsica,136,423025,41.891775,12.486137,1,"S. Giovanni in Laterano, the Lateran basilica","""laid out"" in 313 and completed in 324",,313,324,,"(Krautheimer et al. 1937-77, 5.9f., 47f., 72f., pI. I; Krautheimer 1969, 250; Guyon 1977, 223; Krautheimer 1983, 18, 20; Tesei 1986, 531; Testini 1989, 16; Blaauw 1994, 113f., 127ff.; Curran 2000, 94ff.; Fiocchi Nicolai 2001, 51); (Brandengurg 1995, 37; Hlloway 2004, 60)","Brandenburg 1995, 37; Holloway 2004,60",,Jana,
Rome,Italy with Sardinia and Corsica,136,423025,41.891775,12.486137,1,"S. Sebastiano, the basilica apostolorum","in Damasus´ time, A.D. 366-384, according to Huelsen 1921, Ixviii",,366,384,,"(Krautheimer 1937–77 3.11f., 103, 140f., fig. 127, pI. VII,; Tolotti 1953, 220; Matthiae 1962, 50; Jastrzebowska 1981, 163, 271; Krautheimer 1983, 23; Tolotti 1984, 130, S. Pietro, and 155, Tesei 1986, 506; Ferrua 1990, 23ff., fig. 5; Spera 1999, 228f., fig. 169; Pergola and Barbini 1999, 181ff.; Rutgers 2000, 128; Curran 2000, 97ff.; Huelsen 1921, lxviii); (Cecchelli 2000, 93, but rejected, idem 2003,27)",,,Jana,
Rome,Italy with Sardinia and Corsica,136-137,423025,41.891775,12.486137,1,"S. Pietro, west-facing with four side aisles","completed in 324, perhaps later",324,,,,"(Krautheimer et al. 1937-77, 5.171, 180, fig. 148 and pI. V; Duchesne 1955-57, 79; Matthiae 1962, 44; Krautheimer 1983, 18; Tesei 1986, 540; Blaauw 1994, 452ff.; Curran 2000, 109; Fiocchi Nicolai 2001, 53, 57; Holloway 2004, 79-82); (so, Krautheimer 1983, 102; Brown 1996, 38); (Holloway 2004, 182)",,,Jana,
Rome,Italy with Sardinia and Corsica,137,423025,41.891775,12.486137,1,"S. Valentino, a little martyr-church on the via Flaminia",earlist dated 318,318,,,,"Pergola and Barbini 1999, 109; Fiocchi Nicolai 2000, 52f.; Fiocchi Nicolai 2001, 60)",,,Milan,
Rome,Italy with Sardinia and Corsica,137,423025,41.891775,12.486137,1,"SS. Marcellino e Pietro, the ruins identified near the mausoleum of Helena",ca. 312-324,,312,324,,"Duchesne 1955–57, 1.182; Krautheimer 1937–77, 2.141, 192f., 199f., ""a covered graveyard"" like other circiform churches, and pl. XV; Krautheimer 1983, 6; Guyon 1984, 183ff.; Krautheimer 1992-93, 527ff .; Guyon 1994, 95, date is 320; Fiocchi Nicolai 1995-96, 119; Pergola and Barbini 1999, 164; Curran 2000, 100ff., 104; Cechelli 2003, 116; contains remains of Constantinian burials, Holloway 2004,87-92, and fig. 3.27",,,Milan,
Rome,Italy with Sardinia and Corsica,137,423025,41.891775,12.486137,1,a memorial church,uncertain before 384,,,384,,"Duchesne 1.178; Krautheimer 149f., 154f., pI. III; Matthaei 1962, 83; Tesei 1986, 536; Fiocchi Nicolai et aL 1999, 59; Pani Ermini 2000, 2.164; Fiocchi Nicolai 2001, 91; Filippi 2005-06, 277f.; Brandenburg 1994, 230; Cecchelli 2003, 27; Brandenburg 2005-6, 239ff",,,Milan,
Rome,Italy with Sardinia and Corsica,137,423025,41.891775,12.486137,1,"""basilica Marciana"" on the Via Ardeatina near the mausoleum of Helena",built in 314-335,,314,335,,"Krautheimer et al. 1937–77 2.6f., 11f., 18, 94, pI. II; early dismissal of Constantinian possibilities, 115f., 131f.; corrected thoughts, Krautheimer 1983, 23; Duchesne 1955–57 81ff., 85, 181; Tesei 1986, 490; Pergola and Barbini 1999, 95; La Rocca 2000, 207, fig. 6 plan; Holloway 2004, 110f., Constantinian",,,Milan,
Rome,Italy with Sardinia and Corsica,137-138,423025,41.891775,12.486137,1,"S. Agnese fuori Ie Mura, the ""circus-form"" basilica", though 340-360,,340,360,,"(Krautheimer 1937–77, 1.19, pl. V; Matthiae 1962, 47; Krautheimer 1983,6; Fiocchi Nicolai 1995-96, 119; Fiocchi Nicolai et aL 1999,41; Fiocchi Nicolai 2001, 57; Holloway 2004,93)",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"""basilica Marciana"" on the Via Ardeatina near the mausoleum of Helena","(in the first half of the 4th c., or possibly Damasian, Le., A.D. 366-384); (or late 4th c.)",,301,400,,"(Duchesne 1955–57 1.202; Reekmans 1995, 60f. with fig. 14, plan; Fiocchi Nicolai 1995-96, 69, 76f., 92, 98f., 129; De Santis and Biamonte 1997, 30f.; Pergola and Barbini 1999, 95f.; Spera 1999, 85ff.; Calci 2000, 408; Pani Ermini 2000, 1.17; Fiocchi Niocolai 2001, 57, 6 If.); (Pergola and Barbini 1999,98; La Rocca 2000, 207, 210); (ibid. 207) ",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,Piazza Venezia church,336,336,,,,"Cecchelli 1992-93, 308 and fig. 1",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"""Anonima della Via Ardeatina"", a nameless small church now in ruins",after 350,,350,,,"Huelsen 1921, lxviii; Krautheimer 1937–77, 2.217, 227ff., 244ff., pI. XVII; Matthiae 1962,63; Jastrzebowska 1981, 163, 271, Abb. 20; Reekmans 1989, 868; Spera 1999, 85ff.; De Santis and Biamonte 1997, 29; Fiocchi Nicolai 2001, 57; La Rocca 2000,208, fig. 7; Holloway 2004, Ill; Pani Ermini 2000,2.116, the structure if not the cult post-400",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"S. Agnese fuori Ie Mura, on the Via Nomentana, the small basilica",312–327,,312,327,,"Krautheimer 1937–77, 1.16, 19, 30, 34f., pI. III, 2 and pl. IV; Duchesne 1955–57, 81; Krautheimer 1960, 22",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"SS. Marco e Marcelliano, not far from Nereo e Achilleo, a basilica between the Via Appia and Ardeatina",-,,,,,"Saint-Roch 1986, 285f., 289; De Santis and Biamonte 1997,43; Spera 1999, 91",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"S. Tecla basilica, with only two aisles and its floor taken up by burials",mid-4th c.,,325,374,,"Pergola and Barbini 1999, 222",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,S. Lorenzo in Damaso between the Via Ardeatina and Appia,-,,,,,"De Santis and Biamonte 1997, 42f",,,Milan,
Rome,Italy with Sardinia and Corsica,138,423025,41.891775,12.486137,1,"""Anonima della via Prenestina"" in ruins near the Tor de'S chi avi, a west-facing ""circus-form"" basilica ",-,,,,,"Rasch 1993, 79f., fig. 72B; La Rocca 2000, 207; Fiocchi Nicolai 2000, 48f.; Fiocchi Nicolai 2001, 57; Cecchelli 2003, 117; Holloway 2004, 104ff., ""a covered cemetery"").",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"Aequitia, a parish church","in the term of Silvester, Duchesne 170; but Constantinian or later",,170,,,"Matthiae 1962, 61",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"Tigridae, parish church",a mid-4th c.,,325,374,,"Matthiae 1962, 57",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,S. Maria in Trastevere built by expanding an ancient house-church,A.D. 337-52,,337,352,,"Tesei 1986,372",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"S. Croce in Gerusalemme, west-facing, a laity space","(mid-4th c.); (ca. 312–327, or post-337); (second half of the century)",,325,374,,"(Krautheimer 1937–77, 1.167; Duchesne 1955–57, 81,179; Krautheimer 1983,6); (Matthiae 1962, 52; Nussbaum 1965, 1.232f.); (Tesei 1986,440)",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"S. Anastasia, cruciform","built ""soon after the Peace"" of 313",,313,,,"(?a pre-Constantinian site, Huelsen 1921, lxvii; Krautheimer 1983, 96); (Matthiae 1962,65; «after the middle of the IV cent:', Krautheimer 1937–77, 1.50,60, pl. X) ",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"basilica Juli, SS. Apostolorum",built between 337 and 352,,337,352,,"Duchesne 1955–57, 8; Huelsen 1921, lxviii; Matthiae 1962, 65; Reekmans 1989,868",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"S. Clemente, on the Via Labicana, west-facing, with nave and two aisles","the last third of the 4th c., perhaps 385",,367,400,,"Krautheimer 1937–77, 1.118, 134, with conjecture of a house-church underneath; and pI. XIX showing the solea; Matthiae 1962, 70; Nussbaum 1965, 1.232f.; Krautheimer 1983, 96; Fiocchi Nicolai 2001, 95; Marino 2005, 36f.; by an old view, pre-Constantinian, Huelsen 1921, lxvii; by a recent view, late 4th to early 5th c., Roperti 2003,47",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,S. Lorenzo on the Via Ardeatina; laity space ,-,,,,,"Duchesne 1955–57, 1.212f.; Krautheimer et al. 1937–77, 2. 145f., IX; Krautheimer 1983, 23 fig. 23, 96; Tesei 1986, 192; De Santis and Biamonte 1997, 43; Spera 1999,91",,,Milan,
Rome,Italy with Sardinia and Corsica,139,423025,41.891775,12.486137,1,"Generosa basilica, a large funerary church with side aisles",-,,,,,"Pergola 1986,.218,224; Reekmans 1995,66",,,Milan,
Rome,Italy with Sardinia and Corsica,139-140,423025,41.891775,12.486137,1,"SS. N ereo e Achilleo, a small basilica","(Constantine's time or of Damasus' constructing, or of the end of the 4th c.); (in the last decades of the 4th c.)",,306,400,,"(Testini 1980, 202; Tesei 1986, 468; Pergola and Barbini 1999,214,222; De Santis and Biamonte 1997,80; Cecchelii 2003, 28); (Krautheimer 1937–77 3.128ff.; Testini 1980,202; Damasus' work, Pergola 1986, 213f., 224; or a later date, Pavia 1998,282, the construction in the 390s; Calci 2000,411; Rutgers 2000, 75, 133) ",,,Milan,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,S. Sesto Vecchio,-,,,,,"Krautheimer 1983, 96",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,"Lucinae, a parish church",built by 366,,,366,,"Matthiae, 1962, 64",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,S. Pudenzia,ca. 390 or 384,,384,394,,"Krautheimer 1983, 102; Tesei 1986, 10",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,"S. Lorenzo in Lucina, a parish church",-,,,,,"Krautheimer 1983, 102; Tesei 1986, 104",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,"Crescentiana, a basilica",built 399-401,,399,401,,"Duchesne 1955-57, 218; Matthiae 1962, 55",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,"Fasciolae, a parish church",4th c.,,301,400,,"Matthiae 1962, 56f.",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,"SS. Giovanni e Paolo on the Caelian Hill, west-facing",the end of the 4th c.,,375,400,,"Trinci Cincchelli 1978, 560, 567ff.; Nussbaum 1965, 1.232f.",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,S. Vitale; interior,A.D. 401,401,,,,"Tesei 1986, 6; Fiocchi Nicolai 2001, 96",,,Jana,
Rome,Italy with Sardinia and Corsica,140,423025,41.891775,12.486137,1,the titulus Sabina,was not completed until the 430s.,,,439,,"Fiocchi NIcali 2001, 98",,,Jana,
Palestrina,Italy with Sardinia and Corsica,135,423013,41.839064,12.89207,1,a diocese therefore a cathedral?,314,314,,,,"Testini et al. 1989, 19, 91",,pleiades: Praeneste (modern Palestrina),Milan,
Ostia,Italy with Sardinia and Corsica,135,422995,41.754855,12.287656,1,a small martyr church on Via Ostiense,mid-4th c.,,325,374,,"Pergola and Barbini 1999, 223",,,Jana,
Ostia,Italy with Sardinia and Corsica,135,422995,41.754855,12.287656,1,a church identified as Constantine´s,the end of the last century,,-25,0,,"(cf. Testini et al. 1989, 19, 59f.); (Pavolini 2006, 41, Via Laurentia, 239f.; Christie 2006, 15f.)",,,Jana,
"Bolsena (ancient Volsinii, 100 km northeast of Rome)",Italy with Sardinia and Corsica,133,413389,42.644852,11.986114,1,a civil basilica on the edge of the forum taken over for a church,in the early 4th c.,,300,325,,"Gros 1981, 49",,pleiades: Volsinii,Jana,
Florence,Italy with Sardinia and Corsica,133,413138,43.7687303,11.2595198,1,a basilica of313 but only known from literary sources,313,313,,,,"Testini et al. 1989, 19,81",,pleiades: Firenze (modern),Milan,
Florence,Italy with Sardinia and Corsica,133,413138,43.7687303,11.2595198,1,a cathedral,386,386,,,,ibid. 122,,pleiades: Firenze (modern),Jana,
Pisa,Italy with Sardinia and Corsica,135,403253,43.716172,10.396605,1,"a diocese, therefore a cathedral?",313,313,,,,"Testini et al. 1989, 19ff.",,pleiades: Pisae (modern Pisa),Milan,
Luni,Italy with Sardinia and Corsica,134,403235,44.064253,10.016856,1,a cathedral with side aisles and solea,in the sedond half of the 4th c. or ca. 400,,350,410,,"Lusuardi Siena and Sannazaro 1984, 37f., 39 fig. 35; Testini et al. 1989, 140f.; Caillet 1993, 31",,pleiades: Luna (modern Luni),Jana,
Vicenza,Italy with Sardinia and Corsica,140,393513,45.545773,11.540277,1,a church with apse,datable to end of the 4 th c. or beginning of the 5th,392,,,,"Caillet 1993, 97, 100f.",,pleiades: Vicetia (modern Vicenza),Jana,
Ravenna,Italy with Sardinia and Corsica,135,393480,44.415718,12.196604,1,a dicese therefore a cathedral?; a five-aisled cathedral ,343 (or 4th to 5th c.),343,,,,"Deichmann 1966, 174; Violante and Fonseca 1966, 321; Testini et al. 1989, 19ff., 142",,,Jana,
Bologna,Italy with Sardinia and Corsica,133,393421,44.49452,11.349271,1,SS. Vitale e Agricola,393-394,,393,394,,"Testini 1980, 134f.",,pleiades: Bononia (modern Bologna),Milan,
Verona,Italy with Sardinia and Corsica,140,383816,45.438954,10.994371,1,"a diocese therefore a cathedral?, traces of a three-aisled cathedral soon remodeled to a basilica with side aisles",first attested 343-344,,,344,,"Caillet 1993, 73, 83; Testini et al. 1989, 203f.",,,Jana,
Vercelli,Italy with Sardinia and Corsica,140,383815,45.321094,8.426374,1,a diocese therefore a cathedral?,first attested in 353/4,,,354,,"Testini et al. 1989, 19ff.",,pleiades:Vercellae (modern Vercelli),Jana,
Novara,Italy with Sardinia and Corsica,135,383717,45.445082,8.618661,1,a diocese therefore a cathedral?,398,398,,,,"Testini et al. 1989, 19ff",,pleiades: Novaria (modern Novara),Milan,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"""basilica vetus""",-,,,,,"violante and Fonseca 1966, 327; Krautheimer 1983, 77)",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"""basilica nova""",ca. 350,,345,354,,"Lenox-Conyngham 1982, 363; Krautheimer 1983, 73, 76f.; Fiorio 1985, 235 plan",,pleiades: Mediolan(i)um (modern Milan/Milano),Milan,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"SS. Nabore e Felice, martyrs´church",? mid-4th c.,,325,374,,"Sannazaro 2000–1,45",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,a cemetery church laity space,379–386,,379,386,,"Krautheimer 1983, 73, 79; Fiorio 1985, 44 plan, 108; Sannazaro 2000–01, 45; Salzman 2007, 227",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,a small chapel outside the city used by Ambrose,-,,,,,"Fiorio 1985, 108",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"S. Dionigi, Ambrosian and small",-,,,,,"Fiorio 1985, 146",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"S. Lorenzo, a memorial church",the 2nd of the 4th c.,,351,400,,"Fiorio 1985, 324; Kleinbauer 1987, 287; Brandenburg 1995a, 53f., 67",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,a cemetery church with laity space,last decades of the 4th c.,,370,400,,"(Krautheimer 1983, 77, 79, 81 plan; Fiorio 1985, 276; Brenk 1995, 82, 84 Abb. 8, plan; Salzman 2007, 227); (Ambrosian, Krautheimer 1983, 77; looser dating, F. CAvalieri in Fiorio 1985, 276, 311 plan); (Bonamente 1988, 116)",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"S. Simpliciano or basilica Virginum, a cemetery church with laity space",-,,,,,"Krautheimer 1983, 77, 79, 881 plan; Fiorio 1985, 125f.; Salzman 2007, 228",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Milan,Italy with Sardinia and Corsica,134,383706,45.463746,9.18806,1,"basilica Protiana, later S. Lorenzo, a suburban complex of chapels","380, 320–350",,320,350,,"(Krautheimer 1983, 88); (Brandenburg 1995, 55); (Lenox-Conymgham 1982, 363); (Guidobaldi 1998, 443f., 448)",,pleiades: Mediolan(i)um (modern Milan/Milano),Jana,
Como,Italy with Sardinia and Corsica,133,383627,45.81192,9.085784,1,diocese therefore a cathedral?,386,386,,,,"Violante and Fonseca 1966, 314, 321; Testini et al. 1989, 19ff.",,pleiades: Comum (modern Como),Milan,
Torino,Italy with Sardinia and Corsica,140,383580,45.070198,7.686563,1,a diocese therefore a cathedral?,first attested in 389 (or 4th to 5th c.),,,389,,"Testini et al. 1989, 19ff., 225",,pleiades: Augusta Taurinorum (modern Torino),Jana,
Aosta,Italy with Sardinia and Corsica,132,383579,45.7381,7.317846,1,a large structure within the city to make a church,in the mid-4th c.,,325,374,,"Glaser 1997, 194f. Abb. 96",,pleiades: Augusta Praetoria (modern Aosta),Jana,
Ptolemais (Cyrene),North Africa,130,373879,32.708144,20.950753,1,basilica,end of 4th c.,,375,400,,"Romanelli 1940,286)",,,Trojanová,
Sabratha,North Africa,130,344282,32.805896,12.484959,1,"basilica called ""No.3"" by the excavators",the last quarter of the 4th c.,,375,400,,"J.-C. Picard 1989, 519; Carra Bonacassa and Morfino 2003-4, 14f.",,,Trojanová,
"Zoui (Vazaivi, cf. DACL s.v. Zoui, Numidia)",North Africa,132,334660,35.290424,7.360908,1,laity space ca. 18 x 10 m,-,,-,-,,-,,chybějící citace,Trojanová,
Timgad (Numidia),North Africa,131,334636,35.485268,6.467809,1,"in the cemetery corner, a church with side aisles",-,,-,-,,"Gui et al. 1992, 1.264ff.",,,Trojanová,
Timgad (Numidia),North Africa,131,334636,35.485268,6.467809,1,"a second church, in the suburbs",the 4th c.,,301,400,,"Marrou 1949, 193; Fevrier 1989-90, 2.28; Gui et al. 1992, 1.274ff.",,,Trojanová,
Tebessa (Theveste in Proconsularis),North Africa,131,324831,35.407108,8.120848,2,"in a cemetery, a martyr-cult complex to St. Crispina",late 4th c. into the early 5th c.,,375,424,,"Fevrier 1968, 168ff., 186, 191; Fevrier 1970a, 204ff.; Christern 1976, passim, esp. 29 fig. 8, 220-25, proposing a commencement of construction in 380s or 390s, and completion over the course of 25 years; Y. Duval 1982, 1.123-28; 2.694f.; N.Duval 1971-73, 2. 36f. figs. 15f., 37, 40; N. Duval 1989, 348; Gui et al. 1992, 311ff., 315, catacomb, etc.",,,Trojanová,
Thelepte,North Africa,131,324828,34.978743,8.595226,1,a martyr's church,ca. 400,,395,404,,"Y. Duval 1982, 88f.",,,Trojanová,
"Sbeitla (Sufetula, Africa Proconsularis)",North Africa,130,324816,35.238719,9.121017,1,church,late 4th c.,,375,400,,"N. Duval 1971-73, 1.17, 23f., 56f., 132, and fold-out plan II; Y. Duval 1982, 77 144",,,Trojanová,
Mactar,North Africa,130,324774,35.854308,9.204691,1,a civil basilica,before the end of 4th c.,,-,400,,"G.-C. Picard 1957,50, 55 fig. 6)",,nalezeno pod (Mactaris),Trojanová,
"Ammaedara (Ha""idra)",North Africa,127,324665,35.564798,8.449695,1,a west-facing martyr-church,of the second half of the 4th c.,,351,400,,"N. Duval and Y. Duval 1966, 2.1153f. fig. 1; N. Duval 1975 85; N. Duval et al. 1981, 202ff.; N. Duval 1995a, 98, 107ff.
 et al. 1981, 202ff.; N. Duval 1995a, 98, 107ff",-,thus serving,Kneblová,
Dougga (Thugga),North Africa,128,315223,36.422724,9.2194,1,a church with an adjoining portico and chapel for martyrs,4th or early 5th,,301,424,,"Poinssot and Lantier 1925, 238ff.; Y. Duval 1982, 39",,,Trojanová,
Madauros,North Africa,130,315065,36.07764,7.903076,1,church styled no. 2,-,,-,-,,"Gui et al. 1992, 1.329",,,Trojanová,
Carthage,North Africa,127,314921,36.847009,10.312944,1,"basilica Novarum, a huge cemetery church",from the beginning of the 4th c.,,301,324,,"Ennabli 1997, 20, 148",,,Kneblová,
Carthage,North Africa,127,314921,36.847009,10.312944,1,"basilica Celerinae or ""of the Scilli Martyrs""",near the beginning of the 4th c.,,301,324,,"Ennabli 1997, 33ff., 147",,"a memorial church, and mentioned in the company of cemetery churches",Kneblová,
Carthage,North Africa,127,314921,36.847009,10.312944,1,the so-called mensa Cypriani at the site of the martyrdom,-,,-,-,,"Ennabli 1997, 24f.; unjustified identification with the ruins of fig. 5.1 by Meer and Mohrmann 1958,117)",,"known only from written evidence, a large building where Augustine often preached",Kneblová,
Carthage,North Africa,127-128,314921,36.847009,10.312944,1,the memoria Cypriani,by the early 380s,,380,383,,"Aug., Conf. 5.8.15","Ennabli 1975, 120; Ennabli 1997, 21-25, 129f.",was built in and over a cemetery,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,"basilica Fausti, a cemetery church",of the 4th c.,,301,400,,"Ennabli 1997, 27f.",,,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,a narrow basilica,in the 4th c.,,301,400,,"Ennabli 1997, 65","Ennabli 1997 30,. 65f., 70, fig. 18",made from a private house,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,basilica Tricliarum,to the 4th c.,,301,400,,"Ennabli 1997, 34",,,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,"basilica ""of the Tertullianists""",4th c.,,301,400,,"Ennabli 1997, 36",,location and plan unknown,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,basilica Theodosiana,-,,-,-,,"Ennabli 1997, 35",,location and plan unknown,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,basilica Honoriana,of the 4th or 5th c.,,301,500,,"Ennabli 1997,31",,location and plan unknown,Kneblová,
Carthage,North Africa,128,314921,36.847009,10.312944,1,a narrow basilica,"""at the very end of the 4th c. or the beginning of the 5th",,375,424,,"Ennabli 2000, 11, 18f",,,Kneblová,
Carthage,North Africa,127,314921,36.847009,10.312944,2,basilica Maiorum,375,,,,,,,"identical with the Restituta, Meer 1961,479; Delattre 1907,516 and 1908,66,68, ""basilique funeraire ou eglise cimiteriale""",Kneblová,
"Sitifis (Setif), the provincial capital",North Africa,130,305153,36.190436,5.408985,1,funerary basilica A,pre-378,,-,378,,"Fevrier 1965, 24, 39f., 55, and passim; Fevrier 1970b, 24, 39, fig. 6; Fevrier et al. 1970, 47ffGuery 1985, 313; Fevrier 1989-90,2.28, 31 fig. 77; Gui et al. 1992, 1.84ff.",,,Trojanová,
"Sitifis (Setif), the provincial capital",North Africa,130,305153,36.190436,5.408985,1,a funerary basilica B,370s,,370,379,,"Fevrier 1965; Fevrier 1970b, 27f., 38f., 39, passim; Fevrier 1970a, 210f.; Fevriet et al. 1970, 47ff.; Fevrier 1986, 18; Gui et al. 1992, 1.87ff.)",,,Trojanová,
"Sitifis (Setif), the provincial capital",North Africa,131,305153,36.190436,5.408985,1,"a martyr-shrine, church or merely a tomb",4th or 5th c.,,301,500,,"Y. Duval, 1982, 1.315",,,Trojanová,
Sertei (Kherbet Guidra),North Africa,130,305149,36.260558,4.948511,1,a church,late 4th c.,,375,400,,"Gui et al. 1992, 81ff.",,,Trojanová,
"Hippo Regius (Annaba, Algeria, Augustine's see)",North Africa,129,305090,36.883652,7.755129,1,a memorial basilica to bishop Leontius,early 4th c.,,301,324,,"Marec 1958, 35 fig. 2, 216",,,Trojanová,
"Hippo Regius (Annaba, Algeria, Augustine's see)",North Africa,129,305090,36.883653,7.755129,1,"the funerary ('Chapel of Twenty Martyrs""",-,,-,-,,-,,chybějící citace,Trojanová,
"Hippo Regius (Annaba, Algeria, Augustine's see)",North Africa,129,305090,36.883654,7.755129,1,a cathedral church,before 350s,,-,360,,"Marec 1958, 216,223, fig. 2; Christern 1976, 11; Gui et al., 2.fig. 181",,,Trojanová,
"Hippo Regius (Annaba, Algeria, Augustine's see)",North Africa,129,305090,36.883655,7.755129,1,a church,-,,-,-,,"Marec 1958, 223f., Gui et aL 1982, 347f.",,,Trojanová,
"Hippo Regius (Annaba, Algeria, Augustine's see)",North Africa,129,305090,36.883651,7.755129,8,eight churches known from written evidence but only two excavated,3 rd.,,201,300,,"Christern 1976, 11",,,Trojanová,
